Full_Date,Open,High,Low,Close,Index
9/28/2016,324.44,324.87,324.42,324.82,DJ Global Index (World)
9/27/2016,323.21,323.24,322.75,322.84,DJ Global Index (World)
9/26/2016,321.85,321.86,321.08,321.15,DJ Global Index (World)
9/25/2016,324.78,324.86,324.78,324.78,DJ Global Index (World)
9/23/2016,324.8,326.53,324.68,324.8,DJ Global Index (World)
9/22/2016,326.52,326.53,326.16,326.26,DJ Global Index (World)
9/21/2016,323.77,324.09,323.74,324.02,DJ Global Index (World)
9/20/2016,319.52,319.58,319.39,319.48,DJ Global Index (World)
9/19/2016,319.41,319.47,319.23,319.45,DJ Global Index (World)
9/18/2016,317.79,317.79,317.74,317.79,DJ Global Index (World)
9/16/2016,317.74,319.92,317.1,317.74,DJ Global Index (World)
9/15/2016,319.57,319.71,319.5,319.64,DJ Global Index (World)
9/14/2016,317.25,317.31,316.99,317,DJ Global Index (World)
9/13/2016,317.31,317.36,316.98,316.99,DJ Global Index (World)
9/12/2016,321.59,321.94,321.57,321.72,DJ Global Index (World)
9/11/2016,320.91,320.91,320.91,320.91,DJ Global Index (World)
9/9/2016,320.91,320.91,320.8,320.91,DJ Global Index (World)
9/8/2016,327.18,327.27,327.06,327.06,DJ Global Index (World)
9/7/2016,328.12,328.13,327.88,328.03,DJ Global Index (World)
9/6/2016,327.85,328.12,327.78,327.85,DJ Global Index (World)
9/5/2016,325.63,325.74,325.57,325.67,DJ Global Index (World)
9/4/2016,324.72,324.72,324.71,324.72,DJ Global Index (World)
9/2/2016,324.66,325.23,322.44,324.66,DJ Global Index (World)
9/1/2016,322.54,322.58,322.48,322.5,DJ Global Index (World)
8/31/2016,322.09,322.13,321.95,322.12,DJ Global Index (World)
8/30/2016,322.7,322.98,322.67,322.78,DJ Global Index (World)
8/29/2016,323.23,323.35,323.21,323.29,DJ Global Index (World)
8/28/2016,321.97,321.97,321.97,321.97,DJ Global Index (World)
8/26/2016,322.05,325.56,321.27,322.05,DJ Global Index (World)
8/25/2016,323.47,323.5,323.21,323.25,DJ Global Index (World)
8/24/2016,324.05,324.07,323.85,324.04,DJ Global Index (World)
8/23/2016,325.16,325.46,325.14,325.32,DJ Global Index (World)
8/22/2016,324.35,324.48,324.26,324.41,DJ Global Index (World)
8/21/2016,324.44,324.44,324.44,324.44,DJ Global Index (World)
8/19/2016,324.55,324.55,323.48,324.55,DJ Global Index (World)
8/18/2016,325.67,325.81,325.61,325.69,DJ Global Index (World)
8/17/2016,324.68,324.81,324.49,324.54,DJ Global Index (World)
8/16/2016,324.83,324.99,324.75,324.8,DJ Global Index (World)
8/15/2016,325.93,326.02,325.86,326,DJ Global Index (World)
8/14/2016,324.91,324.91,324.72,324.91,DJ Global Index (World)
8/12/2016,325.22,325.55,324.51,325.22,DJ Global Index (World)
8/11/2016,324.62,324.91,324.58,324.78,DJ Global Index (World)
8/10/2016,323.6,323.64,323.5,323.5,DJ Global Index (World)
8/9/2016,323.55,323.84,323.43,323.78,DJ Global Index (World)
8/8/2016,321.98,322.15,321.85,322.08,DJ Global Index (World)
8/7/2016,320.92,320.92,320.92,320.92,DJ Global Index (World)
8/5/2016,320.92,321.07,320.92,320.92,DJ Global Index (World)
8/4/2016,319.09,319.33,319.08,319.17,DJ Global Index (World)
8/3/2016,318.1,318.46,318.07,318.39,DJ Global Index (World)
8/2/2016,318.94,318.97,318.19,318.23,DJ Global Index (World)
8/1/2016,320.98,321.01,320.7,320.75,DJ Global Index (World)
7/29/2016,321.47,321.81,321.47,321.47,DJ Global Index (World)
7/28/2016,319.14,319.28,319.03,319.25,DJ Global Index (World)
7/27/2016,319.42,319.65,319.39,319.47,DJ Global Index (World)
7/26/2016,318.62,318.93,318.54,318.72,DJ Global Index (World)
7/25/2016,318.12,318.18,317.74,317.8,DJ Global Index (World)
7/24/2016,318.6,318.6,318.6,318.6,DJ Global Index (World)
7/22/2016,318.51,318.66,317.7,318.51,DJ Global Index (World)
7/21/2016,318.52,318.62,318.2,318.35,DJ Global Index (World)
7/20/2016,318.47,318.93,318.47,318.8,DJ Global Index (World)
7/19/2016,317.15,317.16,316.77,316.92,DJ Global Index (World)
7/18/2016,318.02,318.16,317.96,317.98,DJ Global Index (World)
7/17/2016,317.3,317.3,317.3,317.3,DJ Global Index (World)
7/15/2016,317.36,317.36,316.89,317.36,DJ Global Index (World)
7/14/2016,317.87,318.46,317.83,318.01,DJ Global Index (World)
7/13/2016,315.88,316.03,315.83,315.9,DJ Global Index (World)
7/12/2016,315.35,316.05,315.32,316.04,DJ Global Index (World)
7/11/2016,312.54,313.48,312.5,313.46,DJ Global Index (World)
7/10/2016,309.63,309.63,309.57,309.63,DJ Global Index (World)
7/8/2016,309.46,309.86,305.63,309.46,DJ Global Index (World)
7/7/2016,306.2,306.47,306.17,306.4,DJ Global Index (World)
7/6/2016,305.83,306.06,305.72,305.9,DJ Global Index (World)
7/5/2016,306.49,306.59,305.72,305.79,DJ Global Index (World)
7/4/2016,309.87,309.9,309.55,309.61,DJ Global Index (World)
7/3/2016,309.64,309.64,309.44,309.64,DJ Global Index (World)
7/1/2016,309.67,310.22,309.67,309.67,DJ Global Index (World)
6/30/2016,307.93,308.44,307.93,308.38,DJ Global Index (World)
6/29/2016,304.65,305.17,304.63,305.03,DJ Global Index (World)
6/28/2016,298.5,298.99,298.48,298.81,DJ Global Index (World)
6/27/2016,293.43,293.53,292.84,292.97,DJ Global Index (World)
6/26/2016,299.21,299.21,299.21,299.21,DJ Global Index (World)
6/24/2016,299.88,299.88,299.42,299.88,DJ Global Index (World)
6/23/2016,315.05,315.05,313.94,314.46,DJ Global Index (World)
6/22/2016,311.15,311.26,311.09,311.19,DJ Global Index (World)
6/21/2016,310.68,310.69,310.33,310.42,DJ Global Index (World)
6/20/2016,309.9,310,309.68,309.9,DJ Global Index (World)
6/19/2016,305.06,305.06,305.06,305.06,DJ Global Index (World)
6/17/2016,304.81,305.32,304.81,304.81,DJ Global Index (World)
6/16/2016,303.48,304.14,303.47,304.07,DJ Global Index (World)
6/15/2016,304.56,304.63,304.45,304.53,DJ Global Index (World)
6/14/2016,303.53,303.57,303.21,303.4,DJ Global Index (World)
6/13/2016,306.28,306.32,305.87,305.89,DJ Global Index (World)
6/12/2016,310.02,310.03,310.02,310.02,DJ Global Index (World)
6/10/2016,310.44,310.44,309.63,310.44,DJ Global Index (World)
6/9/2016,314.69,314.71,314.17,314.23,DJ Global Index (World)
6/8/2016,316.81,316.9,316.72,316.76,DJ Global Index (World)
6/7/2016,315.78,315.92,315.71,315.9,DJ Global Index (World)
6/6/2016,313.82,314.13,313.81,314,DJ Global Index (World)
6/5/2016,312.48,312.48,311.87,312.48,DJ Global Index (World)
6/3/2016,312.21,312.88,312.21,312.21,DJ Global Index (World)
6/2/2016,310.91,311.18,310.89,311.02,DJ Global Index (World)
6/1/2016,310.82,310.88,310.53,310.53,DJ Global Index (World)
5/31/2016,310.99,311.03,310.62,310.67,DJ Global Index (World)
5/30/2016,311.29,311.41,311.27,311.38,DJ Global Index (World)
5/29/2016,310.78,310.78,310.6,310.78,DJ Global Index (World)
5/27/2016,311.15,311.15,310.22,311.15,DJ Global Index (World)
5/26/2016,310.28,310.5,310.23,310.47,DJ Global Index (World)
5/25/2016,309.65,310.13,309.59,310.07,DJ Global Index (World)
5/24/2016,306.7,307.23,306.62,307.2,DJ Global Index (World)
5/23/2016,303.99,304,303.72,303.78,DJ Global Index (World)
5/22/2016,304.38,304.38,304.38,304.38,DJ Global Index (World)
5/20/2016,304.25,304.69,304.25,304.25,DJ Global Index (World)
5/19/2016,302.16,302.21,302.01,302.13,DJ Global Index (World)
5/18/2016,304.13,304.35,304.06,304.22,DJ Global Index (World)
